번호,name,address,disabled_man,disabled_woman,opentime,latitude,longitude,diaper,error_count,emergency_bell
2083,경원빌딩,서울특별시 동대문구 천호대로 273,없음,없음,06:00~21:00,37.5678293,127.0520448,없음,0,없음
2403,경찰병원,서울특별시 송파구 가락동 58,있음,있음,24시간,37.4962469,127.1234827,남자,0,여자화장실
2236,"경찰병원역(개찰구 안, 밖)",서울특별시 송파구 가락동 10-15,있음,있음,영업시간 내,37.4982667,127.1256378,여자,0,여자화장실
4238,경창시장 고객지원센터,신월2동 447-8,없음,없음,정시(개관시간 중),37.5233458,126.8465282,없음,0,없음
3714,경춘선솔밮길(방문자센터),서울특별시 공릉1동 706,있음,있음,24시간,37.6238137,127.0735097,없음,0,남자화장실+여자화장실
3716,경춘선숲길(도깨비시장 앞),서울특별시 공릉2동 354-5,있음,있음,24시간,37.6321366,127.0914306,없음,0,없음
4354,경희궁공원,서울특별시 종로구 신문로2가 2-1,있음,있음,24시간,37.5707551,126.9688336,없음,0,없음
4432,경희궁의 아침 3단지,서울특별시 종로구 사직로8길 34,없음,없음,상시,37.5735869,126.9720944,없음,0,없음
4482,경희궁의아침 2단지,서울특별시 종로구 내수동 71,있음,있음,상시,37.5739635,126.9712851,없음,0,남자화장실+여자화장실
2145,경희의료원,서울특별시 동대문구 경희대로 23,있음,있음,24시간,37.5967122,127.0513948,없음,0,없음
2676,계남근린공원,서울특별시 양천구 중앙로17길 52,없음,없음,:~:,37.509797,126.8561064,없음,0,남자화장실+여자화장실
2802,계남근린공원 입구,서울특별시 구로구 중앙로15길 98-12,없음,없음,:~:,37.5078134,126.8544654,없음,0,없음
4257,계남근린공원(A) (서울시),"서울특별시 양천구 신정로13가길 36, 야외무대 옆",있음,있음,24시간,37.5138057,126.8487633,남여,0,없음
4258,계남근린공원(B) (서울시),"서울특별시 양천구 중앙로 153, 11단지 옆",있음,있음,24시간,37.5109493,126.8560789,남여,0,없음
4259,계남근린공원(D) (서울시),"서울특별시 양천구 중앙로25길 31, 다락골 놀이터 옆",있음,있음,24시간,37.5157868,126.850792,여자,0,없음
4301,계남다목적체육관,서울특별시 양천구 신정동 695-5,있음,있음,6시~22시,37.513194,126.85091,여자,0,없음
4448,계동교회,서울특별시 종로구 계동길81,없음,없음,06:00-22:00,37.581006,126.9866507,없음,0,없음
4420,계원빌딩,서울특별시 종로구 청계천로71,없음,없음,06:00-22:30,37.5689104,126.985345,없음,0,없음
389,고대셀프주유소 개방화장실,서울특별시 성북구 종암동 30-24,없음,없음,00:00~23:50,37.5916521,127.0366717,없음,0,없음
3525,고덕1동주민센터,서울특별시 강동구 고덕동  494-5,있음,있음,9시간,37.5638217,127.1582312,없음,0,없음
3524,고덕2동주민센터,서울특별시 강동구 고덕동 226-4,있음,있음,9시간,37.560516,127.164414,없음,0,없음
3478,고덕그라시움,서울특별시 강동구 고덕동 692,있음,있음,24시간,37.5588658,127.1619876,남여,0,여자화장실
3506,고덕동 동명근린공원(축구장),서울특별시 강동구 고덕동 229,있음,있음,24시간,37.5614664,127.1649325,남여,0,없음
3505,고덕동 두레근린공원 공중화장실,서울특별시 강동구 고덕동 497,없음,있음,24시간,37.5580272,127.1523281,없음,0,장애인화장실+남자화장실+여자화장실
3540,고덕역(5),서울특별시 강동구 고덕동 310 고덕역,없음,없음,05~24,37.5555393,127.1535638,남여,0,없음
3482,고덕유수지 야구장,서울특별시 강동구 고덕동 123-1,있음,없음,24시간,37.5671604,127.1650701,여자,0,없음
3491,고덕천물놀이장(분수광장),서울특별시 강동구 상일동 491,없음,없음,24시간,37.5524598,127.172968,남자,0,없음
3508,고덕초등학교 건너 동명근린공원,서울특별시 강동구 고덕동 215,없음,있음,24시간,37.5598189,127.1675496,없음,0,장애인화장실+남자화장실+여자화장실
424,고려대역 공중화장실,서울특별시 성북구 종암동 29-18 고려대역,없음,없음,05~24,37.5904862,127.0340463,남여,0,장애인화장실+여자화장실+남자화장실
614,고려빌딩,서울특별시 금천구 시흥대로 421,없음,없음,24시간,37.4711303,126.897743,없음,0,여자화장실
620,고려테크온,서울특별시 금천구 범안로 1138,있음,있음,24시간,37.4657473,126.8883773,없음,0,없음
2079,고미술상가 2동,서울특별시 동대문구 고미술로 21,없음,없음,07:00~19:00,37.5692224,127.0510645,없음,0,없음
3484,고분다리시장(주차장) 공중화장실,서울특별시 강동구 천호동 280-9,없음,없음,24시간,37.543078,127.1321774,남자,0,없음
3915,고속터미널역 공중화장실,서울특별시 서초구 반포동 19-11,없음,있음,상시,37.5048493,127.0048756,남여,0,남자화장실+여자화장실
2830,고용노동부 관악지청 1층,서울특별시 구로구 디지털로 32길 42,있음,있음,:~:,37.483262,126.8972845,없음,0,장애인화장실+남자화장실+여자화장실
2831,고용노동부 관악지청 2층,서울특별시 구로구 디지털로 32길 42,있음,있음,:~:,37.483262,126.8972845,없음,0,여자화장실
2832,고용노동부 관악지청 3층,서울특별시 구로구 디지털로 32길 42,없음,있음,:~:,37.483262,126.8972845,없음,0,없음
2833,고용노동부 관악지청 4층,서울특별시 구로구 디지털로 32길 42,없음,없음,:~:,37.483262,126.8972845,없음,0,없음
2829,고용노동부 관악지청 지하 1층,서울특별시 구로구 디지털로 32길 42,없음,없음,:~:,37.483262,126.8972845,없음,0,없음
1076,고은산놀이터,홍제동 312-185 서대문 새마을회관 동측,있음,있음,24시간,37.5856429,126.9410837,없음,0,없음
2707,고척1동주민센터,서울특별시 구로구 중앙로3길 18-8 ,없음,없음,:~:,37.5004049,126.8627872,없음,0,여자화장실
2698,고척2동주민센터,서울특별시 구로구 구로중앙로15길 22,없음,없음,:~:,37.4935403,126.8887173,없음,0,없음
2665,고척교 입구,서울특별시 구로구 안양천동자전거길 701,없음,없음,:~:,37.5014699,126.8723839,없음,0,장애인화장실+여자화장실
2803,고척근린공원,서울특별시 구로구 고척로45길 37,있음,있음,:~:,37.5059325,126.8520068,남여,0,없음
2801,고척근린공원 소공원,서울특별시 구로구 고척로52가길 62,없음,없음,:~:,37.5034411,126.8525406,여자,0,없음
2737,고척근린시장,서울특별시 구로구 고척로32길 11-4,없음,없음,09:00~23:00,37.5019873,126.8498508,없음,0,없음
2686,고척산업용품종합상가-1,서울특별시 구로구 중앙로3길 50,없음,없음,:~:,37.4998083,126.8607807,없음,0,없음
2687,고척산업용품종합상가-2,서울특별시 구로구 중앙로3길 50,없음,없음,:~:,37.4998083,126.8607807,없음,0,없음
2717,고척산업용품종합상가-3,서울특별시 구로구 중앙로3길 50,없음,없음,:~:,37.4998083,126.8607807,없음,0,없음
2718,고척산업용품종합상가-4,서울특별시 구로구 중앙로3길 50,없음,없음,:~:,37.4998083,126.8607807,없음,0,없음
2770,고척스카이돔 관리동,서울특별시 구로구 경인로 430,없음,없음,06:00~22:00,37.498931,126.8670866,남여,0,남자화장실+여자화장실+장애인화장실
2769,고척스카이돔 동측,서울특별시 구로구 경인로 430,없음,없음,06:00~24:00,37.498931,126.8670866,남여,0,없음
2826,고척우체국,서울특별시 구로구 중앙로 76 ,없음,없음,:~:,37.5044303,126.8618164,없음,0,장애인화장실
2828,고척프라자1층,서울특별시 구로구 중앙로10길 7 ,있음,있음,:~:,37.5038001,126.8628007,없음,0,여자화장실
2827,고척프라자2층,서울특별시 구로구 중앙로10길 7 ,없음,없음,:~:,37.5038001,126.8628007,없음,0,장애인화장실
1025,골든브릿지빌딩 개방화장실,서울 서대문구 충정로 50 ,없음,없음,00:00~00:00,37.5629086,126.9651568,없음,0,여자화장실
3653,골마을근린공원,서울특별시 하계1동251-8,없음,없음,24시간,37.6393637,127.0751344,여자,0,여자화장실
3249,곰달래문화복지센터(곰달래도서관),서울특별시 강서구 화곡동 890,있음,있음,09:00~22:00,37.52905997,126.8488982,남여,0,여자화장실+장애인화장실
3312,곰돌이어린이공원,서울특별시 강서구 가양3동 1482-1,없음,없음,00:00~24:00,37.5622893,126.857414,없음,0,여자화장실+장애인화장실
678,공단본부,서울특별시 금천구 시흥대로37길 18,없음,없음,09:00~18:00,37.44588737,126.9026365,없음,0,여자화장실+장애인화장실
1488,공덕119안전센터,서울특별시 마포구 공덕동 29-7 마포소방서 공덕119안전센터,없음,없음,00~24,37.5500073,126.9597432,없음,0,여자화장실+장애인화장실
1565,공덕동주민센터 화장실,서울특별시 마포구 공덕동 29-6 공덕동주민센터,있음,있음,00~24,37.550204,126.9600793,남여,0,여자화장실
1567,공덕역(5) 화장실,서울특별시 마포구 공덕동 423-29 공덕역,있음,있음,05~24,37.544486,126.951195,남여,0,여자화장실
1511,공덕역(6),서울특별시 마포구 공덕동 439 공덕역,있음,있음,05~24,37.5481125,126.9549965,남여,0,여자화장실
1448,공덕역(경의중앙선),서울특별시 마포구 도화동 25-13 공덕역,있음,있음,02~24,37.5430115,126.9511883,남여,0,여자화장실
1493,공덕지구대 화장실,서울특별시 마포구 아현동 785 공덕지구대,있음,있음,09~18,37.5518863,126.9539738,없음,0,여자화장실
3609,공릉1동주민자치센터 화장실,서울특별시 노원구 동일로186길 3-24 ,없음,없음,정시,37.6248286,127.0738422,없음,0,여자화장실+장애인화장실
3757,공릉2동주민센터 화장실,서울특별시 노원구 노원로1길 68 ,없음,없음,정시,37.6213072,127.0833653,없음,0,여자화장실
3693,공릉가로공원,서울특별시 공릉1동 657-8,있음,있음,24시간,37.6238137,127.0735097,남여,0,여자화장실+장애인화장실
3692,공릉동근린공원,서울특별시 공릉2동63-1,있음,있음,24시간,37.6321366,127.0914306,남여,0,장애인화장실+여자화장실
3737,공릉동충전소 화장실,서울특별시 노원구 동일로 1113 ,없음,없음,정시,37.6291155,127.0708447,없음,0,없음
