 연번 , 구분 , 호선 ,name,address, 소재지지번주소 ,disabled_man,disabled_woman, 화장실 상세위치 ,latitude,longitude,emergency_bell, 기저귀교환대설치유무-남자화장실 , 기저귀교환대설치유무-여자화장실 ,diaper
84, 공중화장실 ,3, 종로3가(3) , 서울특별시 종로구 묘동 59 종로3가역(3호선) , 서울특별시 종로구 묘동 59 ,있음,있음, 지하2층 ,37.57156329,126.9918758,있음,없음,없음,없음
85, 공중화장실 ,3, 을지로3가(3) , 서울특별시 중구 을지로3가 282-8 을지로3가역(3호선) , 서울특별시 중구 을지로3가  ,있음,있음, 가 대합실 역무실 아래 지하 2층 ,37.548038,127.015883,있음,없음,없음,없음
86, 공중화장실 ,3, 동대입구 , 서울특별시 중구 장충동2가 199-3 동대입구역 3호선 , 서울특별시 중구 장충동2가  ,있음,있음, 지하2층 가게이트 내 대합실 ,37.55905582,127.005316,있음,있음,있음,남여
87, 공중화장실 ,3, 약수(3) , 서울특별시 중구 신당동 369-44 약수역(3호선) , 서울특별시 중구 신당동 36 ,있음,있음, (지하1층 게이트 내 대합실) ,37.569744,127.046945,있음,없음,있음,여자
88, 공중화장실 ,3, 금호 , 서울특별시 성동구 금호동4가 1470 금호역 , 서울특별시 성동구 금호동4가 ,있음,있음, 지하1층 가 게이트 내 대합실 ,37.54826092,127.0158292,있음,없음,있음,여자
89, 공중화장실 ,3, 옥수 , 서울특별시 성동구 옥수동 168-1 옥수역 , 서울특별시 성동구 옥수동 1 ,있음,있음, 3층 환승통로측 ,37.54156628,127.0173938,있음,있음,있음,남여
90, 공중화장실 ,3, 옥수 , 서울특별시 성동구 옥수동 168-1 옥수역 , 서울특별시 성동구 옥수동 1 ,있음,있음, 3층 금호역측 ,37.54156628,127.0173938,있음,있음,있음,남여
91, 공중화장실 ,3, 압구정 , 서울특별시 강남구 신사동 668 압구정역 , 서울특별시 강남구 신사동 6 ,있음,있음, 지하 1층 ,37.513082,127.011857,있음,없음,있음,여자
92, 공중화장실 ,3, 신사 , 서울특별시 강남구 신사동 667 신사역 , 서울특별시 강남구 신사동 6 ,있음,있음, 지하 1층 ,37.494847,127.017286,있음,있음,있음,남여
93, 공중화장실 ,3, 잠원 , 서울특별시 서초구 잠원동 100-1 잠원역 , 서울특별시 서초구 잠원동 1 ,있음,있음, 지하1층 게이트 내 대합실 ,37.486661,127.015218,있음,있음,있음,남여
94, 공중화장실 ,3, 교대(3) , 서울특별시 서초구 서초동 1748-4 교대역(3호선) , 서울특별시 서초구 서초동 1 ,있음,있음," 대합실1층 역무실 맞은편,게이트외 ",37.484761,127.033371,있음,있음,있음,남여
95, 공중화장실 ,3, 남부터미널 , 서울특별시 서초구 서초동 1748-30 남부터미널역 , 서울특별시 서초구 서초동 1 ,있음,있음, 대합실 B2층 역무실 앞 ,37.486941,127.046621,있음,있음,있음,남여
96, 공중화장실 ,3, 양재 , 서울특별시 서초구 서초동 1366-9 양재역 , 서울특별시 서초구 서초동 1 ,있음,있음," 대합실 B1층 상선 방향(9-4), 게이트 내 ",37.490825,127.055306,있음,없음,없음,없음
97, 공중화장실 ,3, 매봉 , 서울특별시 강남구 도곡동 179-2 매봉역 , 서울특별시 강남구 도곡동 1 ,있음,있음, 대합실 B1층 게이트옆 ,37.494543,127.063426,있음,없음,없음,없음
98, 공중화장실 ,3, 도곡 , 서울특별시 강남구 도곡동 339-2 도곡역 , 서울특별시 강남구 도곡동 3 ,있음,있음, 대합실  B2층  게이트 밖 ,37.496679,127.071705,있음,없음,있음,여자
99, 공중화장실 ,3, 대치 , 서울특별시 강남구 대치동 317-3 대치역 , 서울특별시 강남구 대치동 3 ,있음,있음, 대합실 B1층 역무실 앞 ,37.493686,127.079479,있음,있음,있음,남여
100, 공중화장실 ,3, 학여울 , 서울특별시 강남구 대치동 514-3 학여울역 , 서울특별시 강남구 대치동 5 ,있음,있음, 대합실 B4층 외부 E/V 옆 (게이트외) ,37.483953,127.084413,있음,있음,있음,남여
101, 공중화장실 ,3, 대청 , 서울특별시 강남구 일원동 700-9 대청역 , 서울특별시 강남구 일원동 7 ,있음,있음, 대합실  B2층 상선 게이트안 ,37.48735,127.101842,있음,있음,있음,남여
102, 공중화장실 ,3, 일원 , 서울특별시 강남구 일원동 717 일원역 , 서울특별시 강남구 일원동 7 ,있음,있음," 대합실 B2층 7번출구옆, 역무실 앞 ",37.48398867,127.0841298,있음,있음,있음,남여
103, 공중화장실 ,3, 수서 , 서울특별시 강남구 수서동 728 수서역 , 서울특별시 강남구 수서동 7 ,있음,있음, 대합실 B1층 역무실좌측(게이트내) ,37.48756025,127.1024105,있음,있음,있음,남여
104, 공중화장실 ,3, 가락시장(3) , 서울특별시 송파구 가락동 184-23 가락시장역 , 서울특별시 송파구 가락동 1 ,있음,있음, 대합실 B2층 고객상담실앞(게이트내) ,37.49224932,127.1176417,있음,있음,있음,남여
105, 공중화장실 ,3, 가락시장(3) , 서울특별시 송파구 가락동 184-23 가락시장역 , 서울특별시 송파구 가락동 1 ,있음,있음, 대합실 B2층 고객상담실앞(게이트외) ,37.49224932,127.1176417,있음,있음,있음,남여
106, 공중화장실 ,3, 경찰병원 , 서울특별시 송파구 가락동 10-15 경찰병원역 , 서울특별시 송파구 가락동 1 ,있음,있음, 대합실 B1층 역무실 앞(게이트내) ,37.49600492,127.1244824,있음,있음,있음,남여
